01 00A0009004	INFETCH		IP → BR, AR
02 0104009420			BR + 1 → IP; MEM(AR) → DR
03 0002009001			DR → CR
04 8109804002			if CR(15) = 1 then GOTO CHKBR @ 09
05 810C404002			if CR(14) = 1 then GOTO CHKABS @ 0C
06 810C204002			if CR(13) = 1 then GOTO CHKABS @ 0C
07 807D104002			if CR(12) = 0 then GOTO ADDRLESS @ 7D
08 80C7201040			GOTO IO @ C7
09 800C404002	CHKBR		if CR(14) = 0 then GOTO CHKABS @ 0C
0A 800C204002			if CR(13) = 0 then GOTO CHKABS @ 0C
0B 8157104002			if CR(12) = 1 then GOTO BRANCHES @ 57
0C 8024084002	CHKABS		if CR(11) = 0 then GOTO OPFETCH @ 24
0D 0020011002	ADFETCH		extend sign CR(0..7) → BR
0E 811C044002			if CR(10) = 1 then GOTO T11XX @ 1C
0F 0080009024	T10XX		BR + IP → AR
10 0100000000			MEM(AR) → DR
11 8114024002			if CR(9) = 1 then GOTO T101X @ 14
12 81E1014002	T100X		if CR(8) = 1 then GOTO RESERVED @ E1
13 8024201040	T1000		GOTO OPFETCH @ 24
14 8119014002	T101X		if CR(8) = 1 then GOTO T1011 @ 19
15 0001009401	T1010		DR + 1 → DR
16 0200000000			DR → MEM(AR)
17 0001009201			~0 + DR → DR
18 8024201040			GOTO OPFETCH @ 24
19 0001009201	T1011		~0 + DR → DR
1A 0200000000			DR → MEM(AR)
1B 8024201040			GOTO OPFETCH @ 24
1C 8120024002	T11XX		if CR(9) = 1 then GOTO T111X @ 20
1D 81E1014002	T110X		if CR(8) = 1 then GOTO RESERVED @ E1
1E 0001009028	T1100		BR + SP → DR
1F 8024201040			GOTO OPFETCH @ 24
20 8023014002	T111X		if CR(8) = 0 then GOTO T1110 @ 23
21 0001009020	T1111		BR → DR
22 8028201040			GOTO EXEC @ 28
23 0001009024	T1110		BR + IP → DR
24 8026804002	OPFETCH		if CR(15) = 0 then GOTO RDVALUE @ 26
25 814A404002			if CR(14) = 1 then GOTO CMD11XX @ 4A
26 0080009001	RDVALUE		DR → AR
27 0100000000			MEM(AR) → DR
28 813C804002	EXEC		if CR(15) = 1 then GOTO CMD1XXX @ 3C
29 8130404002	CMD0XXX		if CR(14) = 1 then GOTO CMD01XX @ 30
2A 812D104002	CMD000X		if CR(12) = 1 then GOTO OR @ 2D
2B 0010C09811	AND		AC & DR → AC, N, Z, V
2C 80C8201040			GOTO INT @ C8
2D 0020009B11	OR		~AC & ~DR → BR
2E 0010C09220			~BR → AC, N, Z, V
2F 80C8201040			GOTO INT @ C8
30 8137204002	CMD01XX		if CR(13) = 1 then GOTO CMD011X @ 37
31 8134104002	CMD010X		if CR(12) = 1 then GOTO ADC @ 34
32 0010E09011	ADD		AC + DR → AC, N, Z, V, C
33 80C8201040			GOTO INT @ C8
34 8032011040	ADC		if PS(C) = 0 then GOTO ADD @ 32
35 0010E09411			AC + DR + 1 → AC, N, Z, V, C
36 80C8201040			GOTO INT @ C8
37 813A104002	CMD011X		if CR(12) = 1 then GOTO CMP @ 3A
38 0010E09511	SUB		AC + ~DR + 1 → AC, N, Z, V, C
39 80C8201040			GOTO INT @ C8
3A 0000E09511	CMP		AC + ~DR + 1 → N, Z, V, C
3B 80C8201040			GOTO INT @ C8
3C 8143204002	CMD1XXX		if CR(13) = 1 then GOTO CMD101X @ 43
3D 81E1104002	CMD100X		if CR(12) = 1 then GOTO RESERVED @ E1
3E 0001009201	LOOP		~0 + DR → DR
3F 0200000000			DR → MEM(AR)
40 81C8804001			if DR(15) = 1 then GOTO INT @ C8
41 0004000404			0 → IP
42 80C8201040			GOTO INT @ C8
43 8146104002	CMD101X		if CR(12) = 1 then GOTO SWAM @ 46
44 0010C09001	LD		DR → AC, N, Z, V
45 80C8201040			GOTO INT @ C8
46 0020009001	SWAM		DR → BR
47 0001009010			AC → DR
48 0210C09020			BR → AC, N, Z, V; DR → MEM(AR)
49 80C8201040			GOTO INT @ C8
4A 8153204002	CMD11XX		if CR(13) = 1 then GOTO ST @ 53
4B 814E104002	CMD110X		if CR(12) = 1 then GOTO CALL @ 4E
4C 0004009001	JUMP		DR → IP
4D 80C8201040			GOTO INT @ C8
4E 0020009001	CALL		DR → BR
4F 0001009004			IP → DR
50 0004009020			BR → IP
51 0088009208	PUSHVAL		~0 + SP → SP, AR
52 8055201040			GOTO STORE @ 55
53 0080009001	ST		DR → AR
54 0001009010			AC → DR
55 0200000000	STORE		DR → MEM(AR)
56 80C8201040			GOTO INT @ C8
57 8171084002	BRANCHES	if CR(11) = 1 then GOTO BR1XXX @ 71
58 8166044002	BR0XXX		if CR(10) = 1 then GOTO BR01XX @ 66
59 8161024002	BR00XX		if CR(9) = 1 then GOTO BR001X @ 61
5A 815F014002	BR000X		if CR(8) = 1 then GOTO BNE @ 5F
5B 80C8041040	BEQ		if PS(Z) = 0 then GOTO INT @ C8
5C 0020011002	BR		extend sign CR(0..7) → BR
5D 0004009024			BR + IP → IP
5E 80C8201040			GOTO INT @ C8
5F 805C041040	BNE		if PS(Z) = 0 then GOTO BR @ 5C
60 80C8201040			GOTO INT @ C8
61 8164014002	BR001X		if CR(8) = 1 then GOTO BPL @ 64
62 815C081040	BMI		if PS(N) = 1 then GOTO BR @ 5C
